question_id,label,reason
001,no_figure,The question contains all necessary clinical and diagnostic details in the text without referencing any figures or external exhibits.
002,no_figure,The question does not mention or rely on any image or figure.
003,requires_figure,The diagnosis and management depend on interpreting the initial and repeat ECG findings shown in Figure A and Figure B.
004,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any figures or exhibits.
005,requires_figure,The diagnosis depends on visual inspection of the scalp lesions depicted in Figure A and Figure B to distinguish between the skin cancer types and other options.
006,no_figure,The clinical vignette and answer choices do not refer to or rely on any images or exhibits.
007,no_figure,The clinical vignette provides all necessary details in text without referencing any figures or images.
008,no_figure,The question contains all necessary clinical details in the text and does not reference any image or exhibit.
009,no_figure,The question contains all necessary clinical information in the text and makes no reference to any external image or exhibit.
010,mentions_figure_answerable,"The clinical presentation of false pregnancy signs, negative in-office urine hCG, and an evaporation line on an old home test provides enough diagnostic information to identify pseudocyesis without seeing the ultrasound figure."
011,requires_figure,The correct management depends on identifying the type and exact location of the ingested foreign body shown in the chest radiographs.
012,no_figure,The question contains all necessary clinical information in the text and does not mention or require an image.
013,requires_figure,The question relies entirely on the physical exam finding depicted in Figure A to identify the patient's condition and determine its risk factor.
014,no_figure,"The question contains no references to any external images, figures, or exhibits and can be evaluated entirely from the text."
015,no_figure,The question contains all clinical findings in the text and does not mention or rely on any image or exhibit.
016,no_figure,The question contains all necessary clinical details in the text and does not mention or rely on any images or external figures.
017,no_figure,The question contains all clinical information within the text and does not mention or rely on any figures or exhibits.
018,no_figure,The question contains only text describing a clinical vignette and does not reference any image or exhibit.
019,no_figure,The question contains all necessary clinical details in text and does not reference any figure or exhibit.
020,mentions_figure_answerable,"The clinical history of hepatitis C infection combined with fine, lace-like white lines on the buccal mucosa (Wickham striae) is classic for lichen planus without needing to see Figure A."
021,no_figure,The question contains all clinical information in the text and does not reference any image or exhibit.
022,requires_figure,"Figure A displays hemoglobin electrophoresis results necessary to determine whether the patient has sickle cell trait or sickle cell disease, which dictates the expected future complication."
023,mentions_figure_answerable,"The clinical vignette describing thick, purulent eye discharge in a 4-day-old infant is classic for gonococcal ophthalmia neonatorum, which is routinely prevented at birth with topical erythromycin, making the figure unnecessary."
024,mentions_figure_answerable,"Although Figure A is referenced, the text clearly describes metoclopramide-induced acute dystonia (torticollis), which is sufficient to identify diphenhydramine as the appropriate management."
025,mentions_figure_answerable,"Although Figure A (ECG) is mentioned, the post-myocardial infarction discharge regimen (dual antiplatelet therapy, beta-blocker, statin) indicates acute coronary syndrome, making the addition of an ACE inhibitor (lisinopril) the standard guideline-directed medical therapy that can be deduced from the text alone."
026,no_figure,The question contains all necessary clinical information in the text and does not reference any external images or exhibits.
027,mentions_figure_answerable,"The clinical history of working in semiconductor manufacturing combined with gastrointestinal symptoms, altered mental status, and a garlic odor on the breath is sufficient to identify arsenic toxicity without seeing Figure A."
028,no_figure,The question contains all necessary clinical information to diagnose juvenile myoclonic epilepsy without referencing any images or external figures.
029,mentions_figure_answerable,"The combination of a marfanoid habitus (tall and slender), a thyroid nodule with lymphadenopathy suggesting medullary thyroid cancer, and perioral findings is characteristic of multiple endocrine neoplasia type 2B (MEN 2B), which is associated with pheochromocytoma (elevated plasma metanephrines)."
030,mentions_figure_answerable,"The clinical history of head trauma followed by a classic lucid interval and rapid neurologic deterioration is diagnostic of an epidural hematoma, typically associated with damage to the pterion/sphenoid bone, allowing the question to be answered without the CT scan."
031,no_figure,The question contains all necessary clinical information in the text and does not reference any external images or exhibits.
032,no_figure,"The question presents all clinical details, including CT findings, in the text without referencing any external image or exhibit."
033,no_figure,"The question does not reference any figure, image, table, or external exhibit."
034,no_figure,"The question presents all relevant clinical, imaging, and laboratory findings within the text without referencing an external image."
035,no_figure,The question contains all necessary clinical information in the text and makes no reference to any images or exhibits.
036,no_figure,The question contains all necessary clinical information in the text and does not mention or rely on any exhibits or images.
037,requires_figure,"The question requires interpreting a table of lab values in Figure A, which is not provided, and the answer choices only reference labels from that figure."
038,mentions_figure_answerable,"The clinical history of proximal muscle weakness that improves with exercise in a heavy smoker with weight loss is classic for Lambert-Eaton myasthenic syndrome, allowing identification of the diagnostic test without viewing the chest radiograph."
039,no_figure,The question presents a complete clinical scenario without any reference to external figures or images.
040,no_figure,The question contains all necessary clinical details in the text and does not mention or rely on any exhibits.
