question_id,label,reason
0,no_figure,The question is entirely text-based and does not refer to any figures or exhibits.
1,no_figure,The question contains all necessary clinical information in the text without referencing any figures or images.
2,no_figure,The question contains all necessary clinical and biopsy findings within the text without referring to any images or exhibits.
3,no_figure,The question presents a complete clinical scenario and laboratory values entirely in text without referencing any figures or exhibits.
4,no_figure,The question presents a complete clinical vignette describing allergic conjunctivitis without referencing or requiring any external figures or exhibits.
5,no_figure,"The question contains no reference to any images, tables, or external exhibits."
6,no_figure,The question contains all necessary clinical information in the text and does not refer to any external figure or image.
7,no_figure,"The question contains all necessary clinical, ECG, and echocardiographic details in text form and does not reference any external images or exhibits."
8,no_figure,"The question contains no references to any external images, figures, or exhibits."
9,requires_figure,The question relies entirely on a photograph of the nails to diagnose the underlying condition associated with the findings in the options.
10,no_figure,The question contains all necessary clinical information in the text and does not mention or rely on any exhibits.
11,mentions_figure_answerable,"Although a blood smear is mentioned, the provided clinical presentation, splenomegaly, bone marrow fibrosis, and positive JAK2 assay are sufficient to diagnose myelofibrosis and select ruxolitinib."
12,no_figure,The question contains all necessary clinical and genetic details in the text and does not mention or rely on any figures or exhibits.
13,no_figure,The question contains all necessary clinical information in the text and does not mention or rely on any exhibits or images.
14,no_figure,The question contains all necessary information within the text and does not mention or rely on any images or exhibits.
15,no_figure,The CT scan finding is described entirely within the text of the vignette without referencing an external image or exhibit.
16,no_figure,The question contains all necessary clinical details and references no figures or exhibits.
17,no_figure,"The question does not reference any figure, table, or external exhibit and can be answered entirely from the text."
18,mentions_figure_answerable,"The clinical presentation and physical exam findings (pleuritic chest pain relieved by leaning forward and a pericardial friction rub) are diagnostic of acute pericarditis, allowing determination of the first-line treatment (ibuprofen + colchicine) without the ECG image."
19,no_figure,The question contains all clinical information in the text and does not refer to any external image or exhibit.
20,no_figure,The question contains all necessary clinical information in the text and makes no reference to any images or exhibits.
21,no_figure,"The question contains all clinical information in the text with no reference to any figures, images, or exhibits."
22,no_figure,The question contains all necessary clinical and laboratory information in the text and does not reference any external images or exhibits.
23,no_figure,The question contains all necessary clinical and radiographic findings within the text without referencing any external image or exhibit.
24,no_figure,The question contains all necessary clinical information in the text and does not mention or require any figure or exhibit.
25,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any figures or exhibits.
26,no_figure,"The question asks what an X-ray is likely to show based on the clinical presentation, without referring to an accompanying image."
27,no_figure,The question contains all necessary clinical details in text and does not reference any figure or exhibit.
28,no_figure,The question does not reference or rely on any images or exhibits.
29,no_figure,The question describes all clinical and radiographic findings in the text without referencing any external image or exhibit.
30,no_figure,"The question contains all imaging and laboratory findings fully described within the text, with no reference to an external figure or exhibit."
31,requires_figure,The question relies entirely on comparing the patient's pressure-volume loop to a normal reference curve to identify the underlying pathology.
32,no_figure,The question contains all necessary clinical and laboratory information in the text with no reference to any external figure or exhibit.
33,no_figure,"The question contains all clinical, endoscopic, and biopsy findings directly in the text without referring to any images or exhibits."
34,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any images or external exhibits.
35,no_figure,The question contains all necessary clinical information in the text and does not mention or rely on any figures or exhibits.
36,no_figure,The question contains all necessary clinical information in the text and does not mention or refer to any external figure or exhibit.
37,no_figure,The question contains all necessary clinical information in the text and does not reference any external images or exhibits.
38,no_figure,All dose-response and safety data needed to calculate the therapeutic index are fully provided in the text without referencing any external image or exhibit.
39,no_figure,The question contains all necessary clinical information to identify conduction aphasia and does not reference any image or exhibit.
40,no_figure,The question presents a complete clinical scenario without any reference to an external figure or exhibit.
41,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any figures or exhibits.
42,no_figure,The question contains all necessary clinical and screening details without referencing any external image or exhibit.
43,no_figure,"The question does not refer to any figure, table, or external exhibit and can be answered using standard physiological principles."
44,no_figure,The question contains all necessary clinical details in the text and does not mention or require an image.
45,mentions_figure_answerable,"The clinical presentation of acute intoxication with a severe high anion gap metabolic acidosis and acute kidney injury strongly indicates toxic alcohol poisoning (ethylene glycol or methanol), for which fomepizole is the standard treatment regardless of the urinalysis image."
46,no_figure,The question presents all relevant trial results directly within the text without referencing any external image or exhibit.
47,no_figure,The question contains all necessary clinical details in text and does not refer to any figures or exhibits.
48,no_figure,The question contains a complete clinical description and does not mention or rely on any external images or exhibits.
49,no_figure,The question describes imaging findings directly in the text without referencing an external image or exhibit.
50,no_figure,"The question contains no reference to any image, exhibit, or figure and can be answered entirely from the provided text."
51,no_figure,The question contains all necessary clinical information and laboratory results within the text and does not reference any external figures or exhibits.
52,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any figures or external exhibits.
53,no_figure,"The question does not refer to any image, table, or other exhibit and can be evaluated entirely from the text provided."
54,no_figure,The question contains all necessary clinical information in the text and does not mention or require an image.
55,no_figure,The question presents a complete clinical vignette describing tinea cruris without referring to any images or exhibits.
56,no_figure,"The question does not refer to any image, exhibit, or figure and can be answered entirely from the text."
57,no_figure,The question is entirely text-based and does not mention or rely on any exhibits or images.
58,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any figures or exhibits.
59,no_figure,"The question contains no reference to any image, figure, or exhibit and can be answered solely from the provided text."
60,no_figure,The question contains all clinical information needed to diagnose Salmonella typhi without referencing any images or exhibits.
61,no_figure,The question presents a complete clinical scenario without any reference to images or other exhibits.
62,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any figures or exhibits.
63,no_figure,The question contains all necessary clinical information in the text and does not refer to any external image or exhibit.
64,no_figure,"The question does not refer to any image, exhibit, or figure and contains all necessary clinical information in the text."
65,no_figure,"The question asks for the most likely imaging finding based solely on the clinical history, without referencing any provided image or exhibit."
66,no_figure,The question presents all clinical and ethical details in the text without referencing any external image or exhibit.
67,no_figure,The question does not mention or rely on any exhibits or images.
68,no_figure,The question contains all necessary clinical information in text form and does not reference any figures or external exhibits.
69,no_figure,The question describes the imaging findings in the text without referencing any separate image or exhibit.
70,no_figure,"The question contains all clinical, laboratory, and imaging findings directly in the text without referencing any external image or exhibit."
71,no_figure,The question contains all clinical information in the text and does not refer to any external figure or image.
72,no_figure,The question presents a complete clinical vignette without referencing any figures or images.
73,no_figure,The question presents a complete clinical vignette without referencing any images or external exhibits.
74,mentions_figure_answerable,"The clinical history of a pruritic, hypopigmented rash on the upper back and shoulders after a beach trip in a tropical climate is classic for tinea versicolor, which is confirmed using a potassium hydroxide (KOH) preparation."
75,no_figure,The question presents a complete clinical vignette describing cri-du-chat syndrome without referencing any images or exhibits.
76,no_figure,The question contains all necessary clinical details in text format and does not refer to any external figure or image.
